型 號：,S0300T,證書號碼：,101601續2,合約有效期限：,2016/11/29 - 2018/11/28,廠牌名稱：,奇美(CHIMEI),待機電力實測值(W)：,0.78,能源效率實測值(cfm/W)：,2.1,
型 號：,RHM-C0800T,證書號碼：,102243續2,合約有效期限：,2017/06/06 - 2019/06/05,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬320×高525×深189,實測除濕能力(L/day)：,8.12,EF實測值(L/kWh)：,1.92,水箱容量(L)：,3.3,重量(kg)：,10.4,標示能源因數值(EF)(L/(度/月))：,,年耗電量(度/年)：,,效率分級：,3,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RHM-C0600T,證書號碼：,102243續2,合約有效期限：,2017/06/06 - 2019/06/05,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬320×高525×深189,實測除濕能力(L/day)：,5.88,EF實測值(L/kWh)：,1.62,水箱容量(L)：,3.3,重量(kg)：,9.5,標示能源因數值(EF)(L/(度/月))：,,年耗電量(度/年)：,,效率分級：,3,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S61HWM(室外機)/RB-S61HWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,6.1(kW),標示能源效率比(EER)：,3.87,適用坪數：,10~13 坪,年耗電量：,1891,標示能源效率比值EER：,3.87,年耗電量(度/年)：,1891,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S72HWM(室外機)/RB-S72HWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,7.2(kW),標示能源效率比(EER)：,3.81,適用坪數：,12~15 坪,年耗電量：,2268,標示能源效率比值EER：,3.81,年耗電量(度/年)：,2268,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S82HWM(室外機)/RB-S82HWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1283×高340×深270,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,8.2(kW),標示能源效率比(EER)：,3.81,適用坪數：,15~18 坪,年耗電量：,2583,標示能源效率比值EER：,3.81,年耗電量(度/年)：,2583,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S34VWM(室外機)/RB-S34VWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬823×高300×深244,室外機尺寸（mm）：,寬800×高575×深295,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,3.4(kW),標示能源效率比(EER)：,4.17,適用坪數：,5~8 坪,年耗電量：,978,標示能源效率比值EER：,4.17,年耗電量(度/年)：,978,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S41VWM(室外機)/RB-S41VWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬823×高300×深244,室外機尺寸（mm）：,寬875×高575×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,4.1(kW),標示能源效率比(EER)：,3.87,適用坪數：,7~10 坪,年耗電量：,1271,標示能源效率比值EER：,3.87,年耗電量(度/年)：,1271,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S50VWM(室外機)/RB-S50VWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬875×高700×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,5.0(kW),標示能源效率比(EER)：,3.87,適用坪數：,8~11 坪,年耗電量：,1550,標示能源效率比值EER：,3.87,年耗電量(度/年)：,1550,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S61VWM(室外機)/RB-S61VWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,6.1(kW),標示能源效率比(EER)：,3.87,適用坪數：,10~13 坪,年耗電量：,1891,標示能源效率比值EER：,3.87,年耗電量(度/年)：,1891,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S72VWM(室外機)/RB-S72VWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,7.2(kW),標示能源效率比(EER)：,3.81,適用坪數：,12~15 坪,年耗電量：,2268,標示能源效率比值EER：,3.81,年耗電量(度/年)：,2268,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S82VWM(室外機)/RB-S82VWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1283×高340×深270,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,8.2(kW),標示能源效率比(EER)：,3.81,適用坪數：,15~18 坪,年耗電量：,2583,標示能源效率比值EER：,3.81,年耗電量(度/年)：,2583,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S25CWM(室外機)/RB-S25CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬790×高280×深225,室外機尺寸（mm）：,寬600×高530×深240,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,2.5(kW),標示能源效率比(EER)：,3.93,適用坪數：,3~5 坪,年耗電量：,763,標示能源效率比值EER：,3.93,年耗電量(度/年)：,763,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S28CWM(室外機)/RB-S28CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬790×高280×深225,室外機尺寸（mm）：,寬800×高575×深295,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,2.8(kW),標示能源效率比(EER)：,3.93,適用坪數：,4~6 坪,年耗電量：,855,標示能源效率比值EER：,3.93,年耗電量(度/年)：,855,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S36CWM(室外機)/RB-S36CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬823×高300×深244,室外機尺寸（mm）：,寬875×高575×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,3.6(kW),標示能源效率比(EER)：,3.93,適用坪數：,6~7 坪,年耗電量：,1099,標示能源效率比值EER：,3.93,年耗電量(度/年)：,1099,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S48CWM(室外機)/RB-S48CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬823×高300×深244,室外機尺寸（mm）：,寬875×高575×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,4.8(kW),標示能源效率比(EER)：,3.65,適用坪數：,8~10 坪,年耗電量：,1578,標示能源效率比值EER：,3.65,年耗電量(度/年)：,1578,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S41CWM(室外機)/RB-S41CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬823×高300×深244,室外機尺寸（mm）：,寬875×高575×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,4.1(kW),標示能源效率比(EER)：,3.65,適用坪數：,7~9 坪,年耗電量：,1348,標示能源效率比值EER：,3.65,年耗電量(度/年)：,1348,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S56CWM(室外機)/RB-S56CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬875×高700×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,5.6(kW),標示能源效率比(EER)：,3.65,適用坪數：,8~10 坪,年耗電量：,1841,標示能源效率比值EER：,3.65,年耗電量(度/年)：,1841,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S63CWM(室外機)/RB-S63CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬875×高700×深320,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,6.3(kW),標示能源效率比(EER)：,3.65,適用坪數：,10~13 坪,年耗電量：,2071,標示能源效率比值EER：,3.65,年耗電量(度/年)：,2071,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S72CWM(室外機)/RB-S72CWM(室內機),證書號碼：,103264續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,7.2(kW),標示能源效率比(EER)：,3.59,適用坪數：,11~14 坪,年耗電量：,2407,標示能源效率比值EER：,3.59,年耗電量(度/年)：,2407,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S22HTE(室外機)/RB-S22HTE(室內機),證書號碼：,103260續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬850×高270×深202,室外機尺寸（mm）：,寬715×高482×深240,光源種類：,分離式,產品形式：,變頻式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,2.2(kW),標示能源效率比(EER)：,4.19,適用坪數：,3~5 坪,年耗電量：,630,標示能源效率比值EER：,4.19,年耗電量(度/年)：,630,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S28HTE(室外機)/RB-S28HTE(室內機),證書號碼：,103261續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬850×高270×深202,室外機尺寸（mm）：,寬800×高550×深255,光源種類：,分離式,產品形式：,變頻式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,2.8(kW),標示能源效率比(EER)：,4.18,適用坪數：,4~7 坪,年耗電量：,804,標示能源效率比值EER：,4.18,年耗電量(度/年)：,804,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S50HTE(室外機)/RB-S50HTE(室內機),證書號碼：,103262續1,合約有效期限：,2016/07/10 - 2018/07/09,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1131×高315×深230,室外機尺寸（mm）：,寬884×高793×深366,光源種類：,分離式,產品形式：,變頻式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,5.0(kW),標示能源效率比(EER)：,3.87,適用坪數：,8~11 坪,年耗電量：,1550,標示能源效率比值EER：,3.87,年耗電量(度/年)：,1550,效率分級：,1,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S83CWM(室外機) / RB-S83CWM(室內機),證書號碼：,103486續1,合約有效期限：,2016/10/16 - 2018/10/15,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1150×高300×深260,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,8.3(kW),標示能源效率比(EER)：,3.59,適用坪數：,14~17 坪,年耗電量：,2774,標示能源效率比值EER：,3.59,年耗電量(度/年)：,2774,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-S90CWM(室外機) / RB-S90CWM(室內機),證書號碼：,103486續1,合約有效期限：,2016/10/16 - 2018/10/15,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1283×高340×深270,室外機尺寸（mm）：,寬1000×高795×深350,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,9.0(kW),標示能源效率比(EER)：,3.59,適用坪數：,15~18 坪,年耗電量：,3008,標示能源效率比值EER：,3.59,年耗電量(度/年)：,3008,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,RC-SA0CWM(室外機) / RB-SA0CWM(室內機),證書號碼：,103486續1,合約有效期限：,2016/10/16 - 2018/10/15,廠牌名稱：,奇美(CHIMEI),室內機尺寸（mm）：,寬1283×高340×深270,室外機尺寸（mm）：,寬1105×高1055×深370,光源種類：,分離式,產品形式：,一般型式(60Hz),產品型態：,氣冷式,額定總冷氣能力：,10.2(kW),標示能源效率比(EER)：,3.59,適用坪數：,16~20 坪,年耗電量：,3409,標示能源效率比值EER：,3.59,年耗電量(度/年)：,3409,效率分級：,2,能源效率分級標示圖檔：,圖片點此連結,
型 號：,DF-14D0ST,證書號碼：,104059續1,合約有效期限：,2017/02/03 - 2019/02/02,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,22.1 W,總風量(m3/min)：,77.30,能源效率值(m3/min/W)：,3.44,
型 號：,DF-16D0ST,證書號碼：,104059續1,合約有效期限：,2017/02/03 - 2019/02/02,廠牌名稱：,CHIMEI,尺寸(cm)：,40,形式：,立地電扇,消耗電力(W)：,27.2 W,總風量(m3/min)：,87.48,能源效率值(m3/min/W)：,3.16,
型 號：,WS-P16VS1,證書號碼：,104475續1,合約有效期限：,2017/10/29 - 2019/10/28,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬640×高1032×深667,形式：,直立式,能源效率：,0.0038(kWh/kg),額定容量(Kg)：,16(kg),年耗電量：,13,
型 號：,WS-P14VS1,證書號碼：,104475續1,合約有效期限：,2017/10/29 - 2019/10/28,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬640×高1032×深667,形式：,直立式,能源效率：,0.0036(kWh/kg),額定容量(Kg)：,14(kg),年耗電量：,10,
型 號：,TL-65A240,證書號碼：,104543,合約有效期限：,2015/11/30 - 2017/11/29,廠牌名稱：,CHIMEI,尺寸(吋)：,,解析度(百萬dpi)：,2.0736,開啟模式/有效功率(W)：,,睡眠模式/低功率(W)：,,關閉模式/待機功率(W)：,0.25,
型 號：,DF-14B0SH,證書號碼：,105034,合約有效期限：,2016/01/29 - 2018/01/28,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,18.7 W,總風量(m3/min)：,53.19,能源效率值(m3/min/W)：,2.78,
型 號：,DF-16B0SH,證書號碼：,105034,合約有效期限：,2016/01/29 - 2018/01/28,廠牌名稱：,CHIMEI,尺寸(cm)：,40,形式：,立地電扇,消耗電力(W)：,26.2 W,總風量(m3/min)：,76.45,能源效率值(m3/min/W)：,2.86,
型 號：,DF-16B1SH,證書號碼：,105034,合約有效期限：,2016/01/29 - 2018/01/28,廠牌名稱：,CHIMEI,尺寸(cm)：,40,形式：,立地電扇,消耗電力(W)：,22 W,總風量(m3/min)：,96.35245034,能源效率值(m3/min/W)：,4.26,
型 號：,DF-14B1SH,證書號碼：,105034,合約有效期限：,2016/01/29 - 2018/01/28,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,21 W,總風量(m3/min)：,76.55158089,能源效率值(m3/min/W)：,3.55,
型 號：,TL-43A300,證書號碼：,105201,合約有效期限：,2016/06/03 - 2018/06/02,廠牌名稱：,CHIMEI,尺寸(吋)：,,解析度(百萬dpi)：,2.07,開啟模式/有效功率(W)：,,睡眠模式/低功率(W)：,,關閉模式/待機功率(W)：,0.27,
型 號：,TL-50A300,證書號碼：,105201,合約有效期限：,2016/06/03 - 2018/06/02,廠牌名稱：,CHIMEI,尺寸(吋)：,,解析度(百萬dpi)：,2.07,開啟模式/有效功率(W)：,,睡眠模式/低功率(W)：,,關閉模式/待機功率(W)：,0.27,
型 號：,TL-55A300,證書號碼：,105201,合約有效期限：,2016/06/03 - 2018/06/02,廠牌名稱：,CHIMEI,尺寸(吋)：,,解析度(百萬dpi)：,2.07,開啟模式/有效功率(W)：,,睡眠模式/低功率(W)：,,關閉模式/待機功率(W)：,0.27,
型 號：,TL-32A300,證書號碼：,105202,合約有效期限：,2016/06/03 - 2018/06/02,廠牌名稱：,CHIMEI,尺寸(吋)：,,解析度(百萬dpi)：,1.05,開啟模式/有效功率(W)：,,睡眠模式/低功率(W)：,,關閉模式/待機功率(W)：,0.35,
型 號：,TL-40A300,證書號碼：,105202,合約有效期限：,2016/06/03 - 2018/06/02,廠牌名稱：,CHIMEI,尺寸(吋)：,,解析度(百萬dpi)：,1.05,開啟模式/有效功率(W)：,,睡眠模式/低功率(W)：,,關閉模式/待機功率(W)：,0.37,
型 號：,DF-14A0WR,證書號碼：,105180,合約有效期限：,2016/06/03 - 2018/06/02,廠牌名稱：,CHIMEI,尺寸(cm)：,33,形式：,天花板循環扇,消耗電力(W)：,20 W,總風量(m3/min)：,96.36576283,能源效率值(m3/min/W)：,4.70,
型 號：,DF-14A1WR,證書號碼：,105269,合約有效期限：,2016/07/15 - 2018/07/14,廠牌名稱：,CHIMEI,尺寸(cm)：,33,形式：,天花板循環扇,消耗電力(W)：,21.5 W,總風量(m3/min)：,88.63061194,能源效率值(m3/min/W)：,4.02,
型 號：,WS-P1588S,證書號碼：,105399,合約有效期限：,2016/11/03 - 2018/11/02,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬640×高1070×深690,形式：,直立式,能源效率：,0.0073(kWh/kg),額定容量(Kg)：,15(kg),年耗電量：,23,
型 號：,WS-P1388S,證書號碼：,105399,合約有效期限：,2016/11/03 - 2018/11/02,廠牌名稱：,奇美(CHIMEI),尺寸(mm)：,寬640×高1070×深690,形式：,直立式,能源效率：,0.0091(kWh/kg),額定容量(Kg)：,13(kg),年耗電量：,25,
型 號：,UR-P56VE1,證書號碼：,105473,合約有效期限：,2016/12/12 - 2018/12/11,廠牌名稱：,CHIMEI,尺寸(mm)：,寬774×高1832×深798,總有效內容積(L)：,560,等效內容積(L)：,685.58,
型 號：,UR-P58VB1,證書號碼：,105473,合約有效期限：,2016/12/12 - 2018/12/11,廠牌名稱：,CHIMEI,尺寸(mm)：,寬774×高1834×深769,總有效內容積(L)：,579,等效內容積(L)：,686.64,
型 號：,RC-S28HT2(室外機)/ RB-S28HT2(室內機),證書號碼：,106061,合約有效期限：,2017/02/21 - 2019/02/20,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,RC-S36HT2(室外機)/ RB-S36HT2(室內機),證書號碼：,106061,合約有效期限：,2017/02/21 - 2019/02/20,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,RC-S42HT2(室外機)/ RB-S42HT2(室內機),證書號碼：,106061,合約有效期限：,2017/02/21 - 2019/02/20,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,RC-S50HT2(室外機)/ RB-S50HT2(室內機),證書號碼：,106061,合約有效期限：,2017/02/21 - 2019/02/20,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,RC-S63HT2(室外機)/ RB-S63HT2(室內機),證書號碼：,106061,合約有效期限：,2017/02/21 - 2019/02/20,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,RC-S72HT2(室外機)/ RB-S72HT2(室內機),證書號碼：,106061,合約有效期限：,2017/02/21 - 2019/02/20,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,AP-12H0NM,證書號碼：,106145,合約有效期限：,2017/02/21 - 2019/02/20,廠牌名稱：,奇美(CHIMEI),待機電力實測值(W)：,0.37,能源效率實測值(cfm/W)：,3.7,
型 號：,RC-S22HT2(室外機)/RB-S22HT2(室內機),證書號碼：,106261,合約有效期限：,2017/04/10 - 2019/04/09,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,DF-14G0ST,證書號碼：,106283,合約有效期限：,2017/04/10 - 2019/04/09,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,22.2 W,總風量(m3/min)：,77.21,能源效率值(m3/min/W)：,3.42,
型 號：,DF-14F0ST,證書號碼：,106283,合約有效期限：,2017/04/10 - 2019/04/09,廠牌名稱：,CHIMEI,尺寸(cm)：,35,形式：,立地電扇,消耗電力(W)：,22.2 W,總風量(m3/min)：,77.21,能源效率值(m3/min/W)：,3.42,
型 號：,DF-16F0ST,證書號碼：,106283,合約有效期限：,2017/04/10 - 2019/04/09,廠牌名稱：,CHIMEI,尺寸(cm)：,40,形式：,立地電扇,消耗電力(W)：,26.7 W,總風量(m3/min)：,99.99,能源效率值(m3/min/W)：,3.69,
型 號：,RC-S22HF1(室外機)/RB-S22HF1(室內機)
,證書號碼：,106336,合約有效期限：,2017/06/01 - 2019/05/31,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,RC-S28HF1(室外機)/RB-S28HF1(室內機)
,證書號碼：,106336,合約有效期限：,2017/06/01 - 2019/05/31,廠牌名稱：,奇美(CHIMEI),系統未匹配：,請洽系統管理員,
型 號：,RC-S36HF1(室外機)/ RB-S36HF1(室內機)
